GPU Name,Passmark mark,GPU Value,MSRP
Ryzen 9 5980HS with Radeon Graphics,2533,-1,NA,NA
S3 5400EW,146,1651,NA,NA
S3 Chrome 430 ULP,39,1983,NA,NA
S3 Chrome S25 DDR2,18,2079,NA,NA
S3 Chrome S27 DDR3,33,2019,NA,NA
S3 Inc. Savage4,3,2221,NA,NA
S3 ProSavageDDR,1,2260,NA,NA
S3 SuperSavage/IXC 1014,1,2254,NA,NA
SAPPHIRE RADEON 9000 ATLANTIS PRO,5,2157,NA,NA
SAPPHIRE RADEON 9600 ATLANTIS,47,1954,NA,NA
SAPPHIRE Radeon X1550,61,1910,NA,NA
Sapphire RADEON X800 GT,112,1744,NA,NA
Seria Mobility Radeon HD 3400,124,1700,NA,NA
Seria Radeon HD 7700,1603,636,NA,NA
SUMO 9640,650,1129,NA,NA
SUMO 9644,465,1337,NA,NA
SUMO 964A,497,1301,NA,NA
T1000,7748,183,21.95,$352.99
T1000 8GB,7761,181,NA,NA
T1200 Laptop GPU,7984,173,NA,NA
T400,3673,322,23.40,$156.99*
T400 4GB,3574,326,NA,NA
T500,3642,323,NA,NA
T550 Laptop GPU,5027,255,NA,NA
T600,6563,207,30.89,$212.46
T600 Laptop GPU,6896,200,NA,NA
TENSOR 1.0 Driver Intel HD 630,1299,721,NA,NA
Tesla C2050,3515,332,13.02,$269.99*
Tesla C2050 / C2070,3428,337,NA,NA
Tesla C2070,3101,369,5.13,$604.00*
Tesla C2075,3118,367,4.83,$646.00*
Tesla K20m,3895,307,NA,NA
Tesla K20Xm,5428,-1,NA,NA
Tesla K40c,3756,-1,NA,NA
Tesla K40m,704,-1,NA,NA
Tesla K80,7024,-1,11.83,$593.95*
Tesla M10,3490,334,1.30,"$2,695.00*"
Tesla M2070-Q,1305,716,NA,NA
Tesla M40,10116,122,16.86,$600.00*
Tesla M40 24GB,11658,101,NA,NA
Tesla M6,7509,188,37.73,$199.00*
Tesla M60,7770,180,9.86,$787.90*
Tesla P100-PCIE-16GB,7225,195,NA,NA
Tesla P40,16864,40,NA,NA
Tesla T10,13263,-1,NA,NA
Tesla T4,10940,110,3.39,"$3,227.82"
TITAN RTX,20051,18,7.17,"$2,794.99*"
TITAN V,19773,19,9.89,"$1,999.99*"
TITAN V CEO Edition,16987,37,NA,NA
TITAN Xp,19290,22,NA,NA
TITAN Xp COLLECTORS EDITION,18711,31,NA,NA
TRINITY DEVASTATOR MOBILE,699,1082,NA,NA
TRINITY SCRAPPER MOBILE,498,1300,NA,NA
V9560XT V62.11,6,2133,NA,NA
Vanta/Vanta LT,3,2225,NA,NA
VIA Chrome9 HC IGP,4,2186,NA,NA
VIA Chrome9 HC IGP Family,3,2198,NA,NA
VIA Chrome9 HC IGP Family WDDM,3,2210,NA,NA
VIA Chrome9 HC IGP Prerelease WDDM 1.1,2,2249,NA,NA
VIA Chrome9 HC IGP WDDM,2,2232,NA,NA
VIA Chrome9 HC IGP WDDM 1.1,2,2233,NA,NA
VIA Chrome9 HC3 IGP,2,2237,NA,NA
VIA Chrome9 HCM IGP,1,2256,NA,NA
VIA Chrome9 HD IGP,9,2108,NA,NA
VIA/S3G C-645/640 GPU,183,1607,NA,NA
VIA/S3G Chrome 645/640 GPU,109,1757,NA,NA
VIA/S3G DeltaChrome IGP,3,2216,NA,NA
VIA/S3G KM400/KN400,4,2192,NA,NA
VIA/S3G UniChrome IGP,4,2187,NA,NA
VIA/S3G UniChrome Pro IGP,4,2171,NA,NA
VIA/S3G UniChromeII,5,2141,NA,NA
VisionTek Radeon 7000,1,2255,NA,NA
WinFast A250 LE,4,2166,NA,NA
WinFast GT 610,211,1570,NA,NA
Xabre,5,2158,NA,NA
XFX Radeon HD 4650 AGP,109,1755,NA,NA
XGI Volari Family v1.13.23.D_V,4,2177,NA,NA
ZX Chrome 645/640 GPU,147,1649,NA,NA
zxcvIntel HD 620,943,-1,NA,NA
